Incident Date,State,City Or County,Address,# Killed,# Injured,AgeGroup
26.11.16,Maryland,Sabillasville,6600 block of Eylers Valley Flint Road,1,0,Adult
26.11.16,Ohio,Grand Rapids,SR Route 65,1,0,Adult
24.11.16,New York,Sandy Creek,Kehoe Road,1,0,Adult
24.11.16,Florida,Black Point,N/A,1,0,Adult
23.11.16,Michigan,Powell Township,North 1311 County Road KCI,1,0,Adult
23.11.16,West Virginia,Troy,Highway 47 West,1,0,Adult
22.11.16,Indiana,Anderson,1600 block of West 7th Street,1,0,Adult
22.11.16,Virginia,Christiansburg,700 block of Dabney Road,1,0,Adult
22.11.16,Arkansas,Searcy (county),N/A,1,0,Adult
20.11.16,Louisiana,Many (Sabine),N/A,1,0,Adult
20.11.16,Virginia,Dinwiddie (county),I-85,1,0,Adult
17.11.16,New Jersey,Trenton (Hamilton Township),2000 block of Genesee Street,1,0,Adult
16.11.16,Arkansas,Bentonville,Punkin Hollow and Miller Church Roads,1,0,Adult
15.11.16,Montana,Park (county),Daisy Dean Road,1,0,Adult
13.11.16,Colorado,Park (county),N/A,1,0,Adult
13.11.16,Georgia,Jasper (county),Highway 16,1,0,Adult
13.11.16,Michigan,Ypsilanti,212 Stevens Drive,1,0,Adult
12.11.16,South Carolina,Union,200 block of Wilson Road,1,0,Adult
12.11.16,Colorado,Grand Junction (Fruitvale),3060 Sandpiper Avenue,1,0,Adult
12.11.16,Montana,Libby,N/A,1,0,Adult
12.11.16,Colorado,La Salle,18000 block of County Road 43,1,0,Adult
12.11.16,South Carolina,Summerton,1500 block of Homeward Way,1,0,Adult
11.11.16,Minnesota,Winona,300 block of East 3rd Street,1,0,Adult
11.11.16,Oklahoma,Fort Towson,N/A,1,0,Adult
10.11.16,California,Burbank,2500 North Hollywood Way,1,0,Adult
10.11.16,Oregon,Salem,N/A,1,0,Adult
08.11.16,Virginia,Hampton,500 block of Pennsylvania Ave,1,0,Adult
08.11.16,Michigan,Muskegon (county),Johnston Street,1,0,Adult
07.11.16,Pennsylvania,New Kensington (Arnold),1417 Orchard Ave,1,0,Adult
07.11.16,Minnesota,Little Falls (Belle Prairie Township),Hawthorne and Jewel Road,1,0,Adult
07.11.16,Florida,Pinellas Park,5000 block of 75th Avenue,1,0,Adult
07.11.16,California,Lancaster,1700 block of East Avenue J,1,0,Adult
07.11.16,North Carolina,Statesville,100 block of Treeline Drive,1,0,Adult
07.11.16,Minnesota,Cloquet,N/A,1,0,Adult
06.11.16,New York,Elma,Dorris Drive,1,0,Adult
06.11.16,Georgia,Atlanta,1800 block of Charleston Avenue,1,0,Adult
05.11.16,North Dakota,Dickinson,1700 block of Abraham Parkway,1,0,Adult
04.11.16,Kansas,Kansas City,7569 State Avenue,1,0,Adult
04.11.16,Tennessee,Knoxville,6500 block of Archer Road,1,0,Adult
04.11.16,Missouri,Joplin,4300 block of Connecticut Avenue,1,0,Adult
03.11.16,Alabama,Eutaw,Wilson Street,1,0,Adult
31.10.16,California,Fresno,Clinton and Winery Avenues,1,0,Adult
30.10.16,Pennsylvania,Norristown,600 block of George Street,1,0,Adult
29.10.16,Indiana,Indianapolis,6600 block of Little Leaf Place,1,0,Adult
29.10.16,Ohio,Toledo,123 Rockingham Street,1,0,Adult
29.10.16,Ohio,Portsmouth,603 Adams St,1,0,Adult
