Incident Date,State,City Or County,Address,Full Address,Lat,Lng,Killed,Injured,AgeGroup
261116,Maryland,Sabillasville,6600 block of Eylers Valley Flint Road,Maryland Sabillasville 6600 block of Eylers Valley Flint Road,39.6620756,-77.440188,1,0,Adult
261116,Ohio,Grand Rapids,SR Route 65,Ohio Grand Rapids SR Route 65,41.4119988,-83.8641161,1,0,Adult
241116,New York,Sandy Creek,Kehoe Road,New York Sandy Creek Kehoe Road,43.6585671,-76.1123143,1,0,Adult
241116,Florida,Black Point,N/A,Florida Black Point N/A,25.5382485,-80.32901,1,0,Adult
231116,Michigan,Powell Township,North 1311 County Road KCI,Michigan Powell Township North 1311 County Road KCI,46.7256448,-87.6232132,1,0,Adult
231116,West Virginia,Troy,Highway 47 West,West Virginia Troy Highway 47 West,39.0079741,-80.7190649,1,0,Adult
221116,Indiana,Anderson,1600 block of West 7th Street,Indiana Anderson 1600 block of West 7th Street,40.1088511,-85.6912798,1,0,Adult
221116,Virginia,Christiansburg,700 block of Dabney Road,Virginia Christiansburg 700 block of Dabney Road,37.1495147,-80.3941457,1,0,Adult
221116,Arkansas,Searcy (county),N/A,Arkansas Searcy (county) N/A,35.9721,-92.6983868,1,0,Adult
201116,Louisiana,Many (Sabine),N/A,Louisiana Many (Sabine) N/A,31.5687848,-93.4840645,1,0,Adult
201116,Virginia,Dinwiddie (county),I-85,Virginia Dinwiddie (county) I-85,37.0702112,-77.5790191,1,0,Adult
171116,New Jersey,Trenton (Hamilton Township),2000 block of Genesee Street,New Jersey Trenton (Hamilton Township) 2000 block of Genesee Street,40.198105,-74.726105,1,0,Adult
161116,Arkansas,Bentonville,Punkin Hollow and Miller Church Roads,Arkansas Bentonville Punkin Hollow and Miller Church Roads,36.4163423,-94.2642463,1,0,Adult
151116,Montana,Park (county),Daisy Dean Road,Montana Park (county) Daisy Dean Road,46.0323228,-110.5626141,1,0,Adult
131116,Colorado,Park (county),N/A,Colorado Park (county) N/A,39.0897928,-105.5943388,1,0,Adult
131116,Georgia,Jasper (county),Highway 16,Georgia Jasper (county) Highway 16,33.3059572,-83.7358067,1,0,Adult
131116,Michigan,Ypsilanti,212 Stevens Drive,Michigan Ypsilanti 212 Stevens Drive,42.2352377,-83.6373784,1,0,Adult
121116,South Carolina,Union,200 block of Wilson Road,South Carolina Union 200 block of Wilson Road,34.6814343,-81.5324465,1,0,Adult
121116,Colorado,Grand Junction (Fruitvale),3060 Sandpiper Avenue,Colorado Grand Junction (Fruitvale) 3060 Sandpiper Avenue,39.065739,-108.4849384,1,0,Adult
121116,Montana,Libby,N/A,Montana Libby N/A,48.3882861,-115.5559988,1,0,Adult
121116,Colorado,La Salle,18000 block of County Road 43,Colorado La Salle 18000 block of County Road 43,40.2613495,-104.6570627,1,0,Adult
121116,South Carolina,Summerton,1500 block of Homeward Way,South Carolina Summerton 1500 block of Homeward Way,33.612468,-80.4245434,1,0,Adult
111116,Minnesota,Winona,300 block of East 3rd Street,Minnesota Winona 300 block of East 3rd Street,44.0505019,-91.6298373,1,0,Adult
111116,Oklahoma,Fort Towson,N/A,Oklahoma Fort Towson N/A,34.0187169,-95.266344,1,0,Adult
